Razão Social,CNPJ,DMS Atacadista/Distribuidor,Gestão de Entrega,Roteirizador,TMS Embarcador,Trizy - APP,Trizy - YMS
CONDOR ATACADISTA DE MATERIAIS PARA CONSTRUCAO S/A,03.261.204/0001-74,1,,,,,
CONECTA CARGO LOGISTICA INTEGRADA,12.146.737/0001-04,,,1,,,
CONORTE COMERCIAL NORTE MINAS DE BATERIAS LTDA,17.995.549/0001-66,1,,,,,
CONSTRUCASA,81.193.336/0001-10,,,1,,,
CONSTRUDECOR S/A,03.439.316/0001-72,,,,1,,
CONSTRUJA DISTRIBUIDORA DE MATERIAIS PARA CONSTRUCAO LTDA,04.648.461/0002-07,1,,,,,
Coonagro Cooperativa Nacional Agroindustrial,84.828.003/0003-70,,,,,,1
COOPERATIVA AGRARIA AGROINDUSTRIAL,77.890.846/0031-94,,,,1,,
Cooperativa Agraria De Machado Limitada,22.226.476/0001-88,,,,,,1
COOPERATIVA AGROINDUSTRIAL ALFA,83.305.235/0001-19,,,,1,,
Cooperativa Agropecuaria Tradicao,05.528.196/0001-05,,,,,,1
COOPERATIVA CENTRAL AURORA ALIMENTOS,83.310.441/0001-17,,,,1,,
,83.310.441/0054-29,,1,,,,
Cooperativa Central Dos Produtores Rurais De Minas Gerais Lt,17.249.111/0023-44,,,,,,1
COOPERATIVA REGIONAL DE COMERCIALIZACAO DO EXTREMO OESTE - C,01.435.328/0002-84,,,,1,,
Cooperativa Regional Itaipu,83.220.723/0030-68,,,,,,1
COOPERCARGA S/A,81.800.849/0001-41,,,,1,,
COOPERFLORA-COOPERATIVA DOS FLORICULTORES,03.300.062/0001-07,,,,1,,
Coopertradição BID,00.000.000/0000-00,,,,,,1
COPACOL - COOP. AGROIND. CONSOLATA,76.093.731/0022-15,,,,1,,
Copagri - Comercial Paranaense Agricola S.A.,04.409.153/0001-48,,,,,,1
COPAL ALIMENTOS LTDA,82.900.713/0001-76,1,,,,,
Copasul Cooperativa Agricola Sul Matogrossense,03.902.129/0001-83,,,,,,1
"COPINI COMERCIO, IMPORTACAO E EXPORTACAO LTDA",10.842.044/0001-12,1,,,,,
CORDIAL DISTRIBUIDORA LTDA,02.171.661/0001-05,1,,,,,
COVABRA SUPERMERCADOS LTDA,61.233.151/0005-08,,,1,,,
CREMER S.A.,82.641.325/0001-18,,1,,,,
CRICIUMA DISTRIBUIDORA DE BATERIAS LTDA.,55.652.146/0001-03,1,,,,,
Csn Cimentos Brasil S.A.,60.869.336/0277-40,,,,,,1
CUNHA DISTRIBUIDORA LTDA,06.247.344/0001-86,1,,,,,
CURICACA COMERCIAL LTDA,24.925.610/0001-64,1,,,,,
D&D DISTRIBUIDORA DE ALIMENTOS LTDA,10.639.655/0001-68,1,,,,,
D. CENTER DISTRIBUIDORA LTDA.,05.651.966/0007-06,,1,,,,
D.G.M.- DISTRIBUIDORA GRANDES MARCAS LTDA,09.350.550/0001-05,1,,,,,
DAB DISTRIBUIDORA DE ALIMENTOS E BEBIDAS LTDA,35.649.953/0001-60,1,,,,,
,35.649.953/0002-40,1,,,,,
DAC - DISTRIBUIDORA DE ALIMENTOS CUIABA LTDA,16.929.282/0001-46,1,,,,,
DAIRY PARTNERS AMERICAS BRASIL LTDA,05.300.331/0025-38,,,,1,,
DALTEZ COMERCIO E LOGISTICA DE ALIMENTOS LTDA.,12.444.252/0001-99,1,,,,,
DANONE LTDA,23.643.315/0001-52,,,,1,,
DANSUL DISTRIBUIDORA DE ALIMENTOS LTDA,07.400.437/0002-42,1,,,,,
DANTAS IMPORTADORA E DISTRIBUIDORA LTDA,09.046.825/0001-11,1,,,,,
DAPAL DISTRIBUIDORA ALAGOANA DE PROD ALIMENTICIOS LTDA,11.919.123/0001-47,1,,,,,
DCL DISTRIBUIDORA CARDEAL LTDA,05.253.499/0001-62,1,,,1,,
DCX PACKAGING DESIGN EMBALAGENS,10.712.844/0001-19,,,1,,,
DE PAULO PAES INDUSTRIA DE ALIMENTOS LTDA,40.989.850/0001-89,1,,,,,
DE SANTA TRANSPORTE RODOVIARIO DE CARGAS LTDA,09.185.434/0001-88,,1,,,,
Del Pozo Transportes Rodoviarios Ltda,76.642.743/0001-27,,,,,,1
DELICIA - COMERCIO DE ALIMENTOS,11.055.002/0001-02,,,1,,,
DELICIAS DO TRIGO INDUSTRIA LTDA,23.951.676/0001-66,,1,,,,
DENTAL TIRADENTES LTDA,71.213.086/0001-89,1,,,,,
DENTALSHOP PRODUTOS ODONTOLOGICOS LTDA,01.326.569/0001-04,1,,,,,
DEPOSITO CARDOSO COMERCIAL LTDA,05.412.096/0001-19,1,,,,,
DEPOSITO SANTOS E RAMOS LTDA,04.613.813/0001-08,1,,,,,
DESINTEC - SERVICOS TECNICOS LTDA,58.408.204/0001-46,,,1,,,
DESTRO BRASIL DISTRIBUICAO LTDA,13.495.487/0001-72,,1,,,,
DEXCO S.A.,97.837.181/0001-47,,,,1,,
DF GENERICA,05.597.131/0001-11,1,,,,,
DF TRANSPORTES E SERVICOS LOGISTICOS LTDA,50.516.660/0001-06,1,,,,,
DI COMERCIO DE ALIMENTOS E BEBIDAS LTDA,13.182.744/0001-16,1,,,,,
DIA DISTRIBUICAO E IMPORTACAO AFOGADOS LTDA,69.944.973/0001-85,1,,,,,
DIALLI DISTRIBUIDORA DE ALIMENTOS LTDA,02.611.870/0001-22,1,,,,,
DIAMAJU AGRICOLA LTDA,04.992.740/0001-02,1,,,,,
DICASA COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA.,07.013.648/0001-41,1,,,,,
"DICLORINA INDUSTRIA, COMERCIO E PRESTACAO DE SERVICOS LTDA",05.919.869/0001-58,,,1,,,
DICON ATACADAO DE ALIMENTOS LTDA,37.218.268/0001-04,1,,,,,
DIFAL ALIMENTOS LTDA,77.751.238/0001-83,1,,,,,
DIFERENTE BRASIL LTDA,45.089.936/0001-79,,,1,,,
DILNOR - DISTRIBUICAO E LOGISTICA DO NORDESTE LTDA,04.054.534/0001-51,1,,,,,
DIMIX DISTRIBUIDORA DE UTILIDADES LTDA.,07.182.178/0001-40,1,,,,,
DINAMICA DISTRIBUIDORA - EIRELI,07.015.562/0001-58,1,,,,,
DINAMICA DISTRIBUIDORA LTDA,84.467.307/0001-97,,,1,,,
DINIL DISTRIBUIDORA NITEROI DE BATERIAS LTDA,31.909.708/0001-93,1,,,,,
DIPAM GAUCHA DISTRIBUIDORA LTDA,91.222.133/0001-68,1,,,,,
DIPRONTO DISTRIBUIDORA LTDA,17.002.382/0001-95,1,,,,,
DIRPAL DISTRIBUIDORA RIBEIRAO PRETO DE ACUMULAD LTDA,44.772.267/0001-72,1,,,,,
DISBAC DISTRIBUIDORA DE BATERIAS E COMPONENTES LTDA,24.680.779/0001-00,1,,,,,
DISBATE DISTRIBUIDORA SERGIPANA DE BATERIAS LTDA,15.600.000/0001-08,1,,,,,
"DISCRA - DISTRIBUIDORA, COMERCIAL E REPRESENTACOES LTDA.",65.592.933/0001-60,,1,,,,
DISDAL DISTRIBUIDORA DE ALIMENTOS LTDA,08.482.850/0001-85,1,,,,,
DISLAB COMERCIAL FARMACEUTICA LTDA EM RECUPERACAO JUDICIA,10.877.246/0001-08,,1,,,,
DISMAL DISTRIBUIDORA MARANHENSE DE ACUMULADORES LTDA,06.775.522/0001-41,1,,,,,
DISMOTOR COMERCIO DE MOTORES ELETRICOS LTDA,69.252.872/0001-43,1,,,,,
DISPPAN DISTRIBUIDORA DE PRODUTOS DE PANIFICACAO,09.144.287/0001-06,1,,,,,
DISTRIBUIDORA ADAUTO CARVALHO LTDA,08.072.649/0007-15,1,,,,,
DISTRIBUIDORA ALAGOANA DE BATERIAS E ACESSORIOS LTDA,12.520.599/0001-73,1,,,,,
DISTRIBUIDORA BRASILIENSE DE BATERIAS LIMITADA,00.650.069/0001-60,1,,,,,
DISTRIBUIDORA CAMPEAO INDUSTRIA E COMERCIO LTDA,04.920.643/0001-04,1,,,,,
DISTRIBUIDORA CATARINENSE DE ACUMULADORES LTDA,02.844.437/0001-37,1,,,,,
DISTRIBUIDORA COBATA,26.095.038/0001-89,1,,,,,
DISTRIBUIDORA DE ALIMENTOS DEQUECH LTDA,79.941.894/0001-74,1,,,,,
DISTRIBUIDORA DE ALIMENTOS FRANCISCO IKEDA LTDA,52.761.434/0004-50,1,,,,,
DISTRIBUIDORA DE ALIMENTOS GALDINO LTDA,08.208.024/0001-42,1,,,,,
DISTRIBUIDORA DE ALIMENTOS NACIONAL CARNES LTDA,11.697.339/0001-05,1,,,,,
DISTRIBUIDORA DE CEREAIS TIO LUIZ LTDA,07.750.620/0001-97,1,,,,,
DISTRIBUIDORA DE COSMETICOS ANTONETO EIRELI,10.984.107/0001-75,1,,,,,
DISTRIBUIDORA DE MEDICAMENTOS SANTA CRUZ LTDA,61.940.292/0001-37,,,,1,,
,61.940.292/0049-81,,5,,,,
DISTRIBUIDORA E LOGISTICA DE PERNAMBUCO IMPORTACAO E EXPORTA,05.429.222/0001-48,1,,,,,
DISTRIBUIDORA EQUADOR DE PRODUTOS DE PETROLEO S.A.,03.128.979/0007-61,,,,,1,1
DISTRIBUIDORA ESTRELA,12.147.968/0003-96,1,,,,,
DISTRIBUIDORA FREITAS LOPES LTDA,02.846.807/0001-75,1,,,,,
DISTRIBUIDORA GOMES LTDA,05.461.276/0001-90,1,,,,,
DISTRIBUIDORA IMPERATRIZ DE BATERIAS LTDA,45.937.632/0001-14,1,,,,,
DISTRIBUIDORA LATIFRIOS LTDA,05.425.979/0001-63,1,,,,,
DISTRIBUIDORA MAIA DE MATERIAL DE CONSTRUCAO LTDA,35.065.903/0001-35,1,,,,,
DISTRIBUIDORA MEDEIROS LTDA,08.474.030/0001-41,1,,,,,
,08.474.030/0002-22,1,,,,,
DISTRIBUIDORA PARAENSE DE BATERIAS E ACESSORIOS LTDA,04.742.466/0001-13,1,,,,,
DISTRIBUIDORA PIAUIENSE DE BATERIAS LTDA,06.731.632/0001-01,1,,,,,
DISTRIBUIDORA POPULAR DE ALIMENTOS LTDA,19.653.622/0001-47,1,,,,,
DISTRIBUIDORA QUALIMAX,05.320.902/0001-29,1,,,,,
DISTRIBUIDORA ROBERTO J.COUTO LTDA,04.837.641/0001-56,1,,,,,
DISTRIBUIDORA SOBRAL DE BATERIAS LTDA,46.791.494/0001-70,1,,,,,
DISTRIBUIDORA TOCANTINS COMERCIO E IMPORTACAO LTDA,04.387.240/0001-41,1,,,,,
DISTRIBUIDORA TOCANTINS DE BATERIAS LTDA,07.951.638/0001-57,1,,,,,
DISTRIBUIDORA TRES SERTOES LTDA,11.080.013/0001-34,1,,,,,
DISTRIBUIDORA UNIAO,07.507.706/0001-93,,,1,,,
DISTRILAF DISTRIBUIDORA DE MEDICAMENTOS LTDA,04.889.013/0001-14,1,,,,,
DISTRIMAX LTDA,39.392.246/0001-91,1,,,,,
DISTRIPACK DISTRIBUIDORA DE EMBALAGENS LTDA,11.043.375/0002-36,1,,,,,
DIVIACO FERRO E ACO LTDA,00.390.878/0001-80,1,,,,,
DNG TRANSPORTES LTDA,15.598.197/0001-80,,1,,,,
DOM JASON ATACADISTA DE PRODUTOS ALIMENTICIOS E BEBIDAS LTDA,24.407.713/0001-32,1,,,,,
DOMONTE TRANSPORTES LTDA,18.310.184/0001-51,1,,,,,
DORI ALIMENTOS S.A.,52.123.916/0028-52,1,,,,,
DOS SANTOS PRODUTOS ALIMENTICIOS EIRELI,35.574.905/0001-50,,,1,,,
Douglas Michels,00.073.695/5131-87,,,,,,1
DROGARIA NATHY FARMA LTDA,05.883.522/0001-00,,,1,,,
DROGARIA VILA RE LTDA,06.006.677/0001-13,,,1,,,
DSTAQ EMBALAGENS,25.174.304/0001-04,,,1,,,
Dti Sementes S.A.,22.755.760/0001-41,,,,,,1
Dual Duarte Albuquerque Comercio E Industria Ltda,24.542.953/0003-01,,,,,,1
DUNORTE DISTRIB DE PROD DE CONS LTDA,84.466.424/0001-36,1,,,,,
DURAFORT INDUSTRIA E COMERCIO LTDA,02.338.126/0001-04,,,1,,,
E. MENDES SERVICOS ADMINISTRATIVOS,22.440.462/0001-62,,,1,,,
E. R. S.  TRANSPORTES LTDA,05.813.343/0001-99,,,,,1,
EBANO DISTRIBUIDORA DE ALIMENTOS LTDA,06.327.055/0001-97,1,,,,,
EBAZAR.COM.BR. LTDA,03.007.331/0001-41,,,1,,,
EBD NORDESTE COMERCIO LTDA,22.924.203/0006-11,1,,,,,
ECO PLAST COMERCIO LTDA,20.161.464/0001-97,1,,,,,
ECOOSASCO AMBIENTAL S/A,09.294.054/0001-81,,,1,,,
ECOPEL DISTRIBUIDORA DE DESCARTAVEIS EIRELI,10.453.906/0001-15,1,,,,,
EDIVALDO BATISTA DOS SANTOS EMBALAGENS - EIRELI,03.624.188/0001-37,1,,,,,
EFX IMPORTACAO E EXPORTACAO EIRELI,15.874.695/0001-08,1,,,,,
E-JET TRANSPORTES E LOGISTICA,01.761.081/0001-05,1,,,,,
ELASTOBOR BORRACHAS E PLASTICOS LTDA,53.840.542/0002-10,,,1,,,
ELETRICA BAHIANA COMERCIO & IMPORTACAO DE MAT ELET LTDA,00.570.553/0001-80,1,,,,,
ELETRICA NOVA BAHIA COMERCIO DE MATERIAIS ELETRICOS LTDA,37.366.988/0001-17,1,,,,,
ELEVAGE,33.279.427/0001-20,,,1,,,
ELFA MEDICAMENTOS S.A.,09.053.134/0001-45,,1,,,,
Elfusa Geral De Eletrofusao Ltda,59.752.048/0001-07,,,,,,2
Emal Empresa De Mineracao Aripuana Ltda,44.026.037/0003-26,,,,,,2
EMBALAGEM CARIOCA,08.747.240/0001-66,,,1,,,
EMBALAR DISTRIBUIDORA DE EMBALAGENS EIRELI,10.347.424/0001-80,1,,,,,
EMBALE BEM,19.949.583/0001-20,,,1,,,
EMBALIMP DESCARTAVEIS E LIMPEZA EIRELI,10.509.801/0001-30,1,,,,,
"E-MOVING MOBILIDADE URBANA, INDUSTRIA E COMERCIO LTDA",22.102.480/0001-34,,,1,,,
EMPORIO MEGA 100 COMERCIO DE ALIMENTOS S.A.,22.914.613/0001-77,1,,,,,
EMPRESA BRASILEIRA DE BEBIDAS E ALIMENTOS S/A,07.604.556/0015-31,,1,,,,
EP ELETRICA LTDA,18.621.731/0001-10,1,,,,,
EPOCA COMERCIO E DISTRIBUICAO DE PROD ALIMENT E IND LTDA,08.450.457/0001-00,1,,,,,
,08.450.457/0002-90,1,,,,,
Equilibrio Fertilizantes Ltda,16.716.929/0001-51,,,,,,1
ERGOS DISTRIBUIDORA DE BEBIDAS LTDA,23.994.096/0001-56,1,,,,,
ESCRITORIO MATRIZ ULTRAGAZ,61.602.199/0001-12,,,1,,,
EVER GREEN INDUSTRIA E COMERCIO LTDA,57.688.657/0001-00,,1,,,,
EXPRESSO CAJAMAR SAO PAULO,44.718.179/0001-92,,,1,,,
EZY COLOR SAO PAULO PROTECAO E DECORACAO DE METAIS LTDA,19.362.207/0002-15,,,1,,,
F H DE OLIVEIRA PEIXOTO LTDA,15.809.486/0001-80,1,,,,,
F LOGISTICA LTDA,37.572.329/0001-37,1,,,,,
F P FACANHA COMERCIO DE ALIMENTOS LTDA,07.348.972/0001-10,1,,,,,
F. PEREIRA QUEIROZ COMERCIO E DISTRIBUICAO EIRELI,13.184.675/0001-80,1,,,,,
FABMED DISTRIBUIDORA HOSPITALAR LTDA,05.400.006/0001-70,1,,,,,
FAMA DISTRIBUICAO E LOGISTICA LTDA,06.029.901/0001-92,1,,,,,
FARMACIA ROVAL DE MANIPULACOES LTDA,24.138.372/0003-09,,,1,,,
FARMACIAS ERECHIM,02.521.066/0008-29,1,,,,,
FARMAX DISTRIBUIDORA S.A,47.291.565/0001-39,1,,,,,
FARMAX S.A.,21.759.758/0001-88,1,,,,,
FAVIFE EIRELI,12.470.347/0001-87,,,1,,,
Fazendão,00.000.000/0000-00,,,,,,1
FAZZIO MADEIRAS COMERCIAL LTDA,32.258.848/0001-01,,,1,,,
FEIRAO HOME CENTER,36.532.733/0001-14,1,,,,,
FEMAR IND E COM DE BEBIDAS EIRELI,05.778.252/0001-60,1,,,,,
FEMME - LABORATORIO DA MULHER,43.721.026/0001-31,,,1,,,
FENIX FOODS,17.257.812/0001-10,1,,,,,
FERNANDEZ SOCIEDADE ANONIMA INDUSTRIA DE PAPEL,43.468.701/0001-62,,,,1,,
FERROLESTE LTDA,01.972.480/0001-15,1,,,,,
FERRONORTE COMERCIO DE FERRAGENS LTDA,00.065.130/0001-02,1,,,,,
FERROS BONAMIGO,92.316.108/0001-06,,,1,,,
FERROS CASTRO,92.102.292/0001-91,,,1,,,
Fertilizantes Heringer S.A.,22.266.175/0013-11,,,,,,1
Fertitex Agro - Fertilizantes E Produtos Agropecuarios Ltda,74.649.138/0001-52,,,,,,2
FFRR DISTRIBUICAO LTDA,17.659.781/0001-23,,,1,,,
FIBERGLASS COLOMBIA S.A,00.000.000/0000-00,,,,1,,
FIEL,38.502.488/0001-28,1,,,,,
"FL BRASIL HOLDING, LOGISTICA E TRANSPORTE LTDA.",18.233.211/0024-26,,,1,,,
FLAMARSUL DISTRIBUIDORA LTDA,03.894.312/0001-84,1,,,,,
FLORA DISTRIBUIDORA DE PRODUTOS DE HIGIENE E LIMPEZA LTDA,08.505.736/0003-95,,,,1,,
FOCO TRANSPORTES LTDA,05.418.460/0001-58,1,,,,,
FOCUS DISTRIBUIDORA LTDA,10.960.053/0001-08,1,,,,,
FORCA TOTAL DISTRIBUIDORA DE GENEROS ALIMENTICIOS LTDA.,11.203.563/0001-01,1,,,,,
FORTALEZA DAS BATERIAS LTDA,06.599.443/0001-27,1,,,,,
FORTALEZA DE SANTA TERESINHA AGRICULTURA E PECUARIA S.A.,11.606.543/0001-73,1,,,,,
FORTALEZA DISTRIBUICAO E LOGISTICA LTDA,04.522.065/0001-58,1,,,,,
Fortepar Operacoes Portuarias Sa,46.737.411/0001-65,,,,,,1
FORTEX INDUSTRIA QUIMICA LTDA,35.092.238/0001-79,1,,,,,
FRANCO E COURA REPRESENTACOES LTDA,07.433.789/0001-13,1,,,,,
FRANGO DO GAUCHO,36.596.246/0001-15,,,1,,,
FRANGO NUTRIBEM LTDA.,05.107.871/0001-22,1,,,,,
FRANGO TAMBAU ABATEDOURO FRIGORIFICO INDUSTRIA COMERCIO LTDA,31.332.636/0001-64,1,,,,,
FREDINI ALIMENTOS LTDA,20.061.591/0001-14,1,,,,,
FREIOPECAS,22.661.482/0002-44,,,1,,,
FREZZE ALIMENTOS,32.345.292/0001-90,,,1,,,
FRIBEL COMERCIO DE ALIMENTOS LTDA,06.035.543/0001-20,1,,,,,
Fribon Transportes Ltda,10.280.806/0001-34,,,,,,1
FRIGODARIO COMERCIAL E LOGISTICA LTDA.,06.173.113/0002-56,1,,,,,
FRIGOL S.A.,68.067.446/0016-53,,,,1,,
FRIGORIFICO CRUZEIRO DO SUL EIRELI,15.841.346/0001-90,1,,,,,
FRIGORIFICO JOSE CARLOS WENSING LTDA.,00.822.488/0001-32,1,,,,,
FRIGORIFICO SAO JOAQUIM LTDA,07.946.019/0001-74,1,,,,,
FRIMESA COOPERATIVA CENTRAL,77.595.395/0002-28,,,,1,,
FRINSCAL - DISTRIBUIDORA E IMPORTADORA DE ALIMENTOS LTDA,03.504.437/0001-50,1,,,,,
FRIOBOM COMERCIO DE FRIOS E TRANSPORTES LTDA,03.866.526/0001-47,1,,,,,
FRIOCENTER - COMERCIO E TRANSPORTES LTDA,04.805.975/0001-48,1,,,,,
FRIOCENTER PESCADOS,08.829.450/0001-01,1,,,,,
FRIOLOG,49.576.466/0001-29,1,,,,,
FRIOZEM LOGISTICA LTDA,03.639.682/0001-75,,,1,,,
FRISACRE,14.290.696/0005-76,1,,,,,
FROSTY PRODUTOS ALIMENTICIOS LTDA,35.229.640/0001-52,1,,,,,
FRUT S INDUSTRIA E COMERCIO DE GELADOS DE ALAGOAS LTDA,08.511.719/0001-07,1,,,,,
FRUTAS DOCE MEL,01.778.112/0001-30,1,,,,,
FRUTT CENTER DISTRIBUIDORA DE POLPAS DE FRUTAS & FRIOS EIREL,01.836.288/0001-00,1,,,,,
FRUTTY REFRIGERANTES LTDA,25.376.211/0001-54,1,,,,,
FS INDUSTRIA DE BIOCOMBUSTIVEIS LTDA,20.003.699/0001-50,,,,1,,1
Fuga Couros Sa,91.302.349/0016-10,,,,,,1
FUTURA DISTRIBUIDORA DE ALIMENTOS LTDA,12.299.281/0001-04,1,,,,,
G M F COMERCIO E REPRESENTACOES LTDA,40.485.138/0001-42,1,,,,,
G O LIMA,04.587.911/0001-18,1,,,,,
G V DA SILVEIRA DISTRIBUIDORA DE ALIMENTOS LTDA,00.722.252/0001-24,1,,,,,
GABI COMERCIO E INDUSTRIA LTDA,04.908.869/0001-90,1,,,,,
GALLO BRASIL DISTRIBUICAO E COMERCIO LTDA,06.012.150/0001-00,,,,1,,
GAMMA DISTRIBUIDORA DE LUBRIFICANTES LTDA.,15.545.788/0001-99,,,1,,,
GARRA DISTRIBUIDOR DE BEBIDAS E ALIMENTOS LTDA,09.590.890/0001-03,1,,,,,
GASOMETRO DO VALE,50.763.606/0001-57,,,1,,,
GD7 DISTRIBUIDOR DE ALIMENTOS LTDA,08.978.365/0001-05,1,,,,,
GEHFER INDUSTRIAL LTDA,27.505.003/0001-33,,,1,,,
GELO MINERAL INDUSTRIA E COMERCIO LTDA,24.828.568/0001-63,1,,,,,
GEMF DISTRIBUIDORA DE ALIMENTOS LTDA,25.135.339/0001-26,1,,,,,
GENESIS INDUSTRIA E COMERCIO DE PRODUTOS QUIMICOS LTDA,53.542.841/0001-97,,,1,,,
GERDAU,07.358.761/0040-75,,1,,,,
GERDAU ACOS LONGOS S.A.,07.358.761/0038-50,,1,,,,
GIOCA INDUSTRIA E COMERCIO LTDA,86.552.429/0001-07,1,,,,,
GIROTRADE S/A,04.820.606/0001-24,,,,1,,
GLASS MEXICO,00.000.000/0000-00,,,,1,,
GLOBOAVES SAO PAULO AGROAVICOLA LTDA EM RECUPERACAO JUDICIAL EM RECUPERACAO JUDICIAL,07.580.512/0001-13,1,,,,,
GMAD AMERICANA COMERCIO DE MADEIRAS E FERRAGENS LTDA,44.479.620/0001-20,,,1,,,
GOIAS DISTRIBUIDORA DE ACUMULADORES LTDA,33.402.231/0001-80,1,,,,,
GOIASMINAS INDUSTRIA DE LATICINIOS LTDA,01.257.995/0001-33,,,,1,,
GONCALVES S A INDUSTRIA GRAFICA,61.070.744/0004-10,,1,,,,
GONCALVES SALLES S A INDUSTRIA E COMERCIO,61.365.557/0001-10,,1,,,,
GOOD BOM SUPERMERCADOS,56.794.852/0017-10,,,1,,,
GOTA D'AGUA,10.573.660/0001-15,,,1,,,
GP DISTRIBUIDORA DE PRODUTOS ALIMENTICIOS LTDA,10.881.686/0001-20,1,,,,,
GP EMBALAGENS LTDA,10.278.029/0001-93,1,,,,,
GRADAR PRODUTOS FARMACEUTICOS LTDA,12.806.626/0002-50,,,1,,,
GRAMOTOS COMERCIO DE MOTO PECAS EIRELI,84.640.580/0001-71,1,,,,,
GRANADO DISTRIBUIDORA,05.695.673/0001-27,,,1,,,
GRANJA BRASILIA AGROINDUSTRIAL AVICOLA LTDA,07.150.233/0010-00,1,,,,,
GRANJA FARIA S.A.,81.616.807/0001-55,,1,,,,
Granol Industria Comercio E Exportacao Sa,50.290.329/0001-02,,,,,,2
Granosul Comercial E Corretora De Graos Ltda,02.037.372/0001-18,,,,,,1
GRF DISTRIBUICAO LTDA,46.443.440/0001-14,,,1,,,
GRIFOS COMERCIO DE ALIMENTOS EIRELI,30.354.209/0001-14,1,,,,,
GRUPO BR,13.289.861/0001-83,,,1,,,
GRUPO EMPRESARIAL MAXIPAS,10.333.971/0001-07,,,1,,,
GRUPO FARTURA DE HORTFRUT S.A.,04.972.092/0001-22,,,,1,,
GRUPO MOAS,05.388.725/0001-12,,,1,,,
Grupo Webler,00.000.000/0000-00,,,,,,1
GT DISTRIBUIDORA DE AUTO PECAS LTDA,17.188.196/0003-54,1,,,,,
GT TRANSPORTES RODOVIARIOS,20.093.095/0001-42,,,1,,,
GUACU EMBALAGENS,13.186.075/0001-50,1,,,,,
GUARAVES GUARABIRA AVES LTDA,12.727.145/0006-82,1,,,,,
GUIMARAES FILHOS & CIA LTDA,04.885.728/0001-07,1,,,,,
GUJAO ALIMENTOS S/A,34.149.823/0004-48,1,,,,,
GURGELMIX MAQUINAS E FERRAMENTAS S.A.,29.302.348/0001-15,,,,1,,
GYNSOL DISTRIBUIDORA E LOGISTICA DE PRODUTOS ALIMENTICIOS LT,37.359.460/0001-10,1,,,,,
H2O PURIFICADORES DE AGUA,18.652.408/0001-03,,,1,,,
HAF DISTRIBUIDOR EIRELI,01.992.041/0001-74,1,,,,,
HAVAI ALIMENTOS E EMBALAGENS LTDA,24.892.291/0001-38,1,,,,,
HEALTH LOGISTICA HOSPITALAR S.A.,18.320.396/0001-10,,,1,1,,
HERCOSUL SOLUCOES EM TRANSPORTES LTDA,15.484.145/0001-82,,,,1,,
HERCOSUL SOLUCOES EM TRANSPORTES LTDA.,15.484.145/0001-82,,,1,,,
HERNANDES ACRE LTDA,12.996.556/0003-20,1,,,,,
,12.996.556/0005-92,1,,,,,
HERNANDES ATACADO E DISTRIBUICAO LTDA,12.996.556/0001-69,1,,,,,
Hidrovias Do Brasil - Vila Do Conde S.A.,13.574.672/0001-52,,,,,,1
Hidrovias Do Brasil Intermediacao E Agenciamento De Servicos,25.291.114/0001-69,,,,,,1
HIG PRIME - HIGIENIZACAO DE ESTOFADOS,29.345.087/0001-10,,,1,,,
HIPERPAN,10.213.780/0001-01,1,,,,,
HOLDI TRANSPORTES LD ME,10.319.331/0001-42,,,1,,,
HORECA BROKER,07.621.735/0001-81,,,1,,,
HORTENCIA DISTRIBUIDORA DE COSMETICOS EIRELI,07.659.117/0001-20,1,,,,,
HORTIGRAN DISTRIBUIDORA IMPORTACAO E EXPORTACAO LTDA - EPP,22.825.574/0001-31,1,,,,,
HOSTIN INDUSTRIA E COMERCIO DE ALIMENTOS LTDA,82.124.686/0001-97,1,,,,,
HS MOVERE TRANSPORTE E LOGISTICA LTDA.,15.626.485/0001-09,,,1,,,
HUAWEI DO BRASIL TELECOMUNICACOES LTDA,02.975.504/0004-03,,,1,,,
HUBER DISTRIBUIDORA DE ALIMENTOS LTDA,09.353.560/0001-02,1,,,,,
HYLA DO BRASIL DISTRIBUIDORA LTDA,26.959.706/0001-79,,,1,,,
IANE INDUSTRIA DE ALIMENTOS NORDESTE LTDA,01.446.719/0001-13,1,,,,,
IBIAPABA DISTRIBUIDORA DE ALIMENTOS LTDA,05.139.918/0001-30,1,,,,,
IBL LOGISTICA,03.558.055/0001-00,,,1,,,
ICE BOYS SERVICOS DE ENTREGA LTDA,30.312.931/0001-96,,,1,,,
ICOFORT - AGROINDUSTRIAL LTDA,02.952.466/0001-12,1,,,,,
ICONIC LUBRIFICANTES S.A.,05.524.572/0010-84,1,,,,,
IGL - IMPORTACAO E COMERCIO DE MATERIAIS DE CONSTRUCAO LTDA,20.450.277/0001-23,1,,,,,
IGLU COMERCIAL E IMPORTADORA LTDA,53.084.695/0001-01,1,,,,,
IGUATU DISTRIBUIDORA DE BATERIAS LTDA.,48.244.042/0001-02,1,,,,,
IMAC INDUSTRIA DE MASSAS CONGELADAS LTDA,03.523.769/0001-82,1,,,,,
IMBRAMIL INDUSTRIA E COMERCIO EIRELI,59.227.728/0001-01,1,,,,,
Imerys Do Brasil Comercio De Extracao De Minerios Ltda,61.327.904/0046-12,,,,,,1
IMIGRANTES MERCANTIL EIRELI,04.517.343/0001-89,,,1,,,
INBAHIA,02.553.328/0001-60,1,,,,,
